SEQUENCIA,NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,IN_TREINEIRO,TP_SEXO,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,Q024,Q025
1,190001336541,Arapiraca,21,1,3,0,F,1,2,1,0,27016579,Arapiraca,AL,Arapiraca,AL,"516,4","501,1","507,8","454,1",620,"519,88",A,B
2,190001336547,Maceió,17,1,2,0,F,1,2,1,1,27037053,Maceió,AL,Maceió,AL,"427,6",483,"515,2",402,660,"497,56",B,A
3,190001336553,Palmeira dos Índios,18,1,1,0,F,1,2,1,1,27015068,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"400,8","449,5","470,6",360,500,"436,18",A,B
4,190001336554,Belo Monte,18,1,3,0,F,1,2,1,0,27009742,Belo Monte,AL,Batalha,AL,"377,2","428,3","493,2","451,7",640,"478,08",A,A
5,190001336565,Maceió,16,1,4,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"432,4","513,7","509,3","393,1",620,"493,7",A,B
6,190001336572,Maceió,18,1,3,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"416,4","524,1",562,"418,2",560,"496,14",A,B
7,190001336581,Maceió,17,1,3,0,F,1,2,1,0,27038734,Maceió,AL,Maceió,AL,"545,9","540,7","534,3","650,2",660,"586,22",A,B
8,190001336583,Arapiraca,18,2,3,0,F,1,2,1,1,27047636,Arapiraca,AL,Arapiraca,AL,555,"575,8","575,3","562,1",760,"605,64",A,B
9,190001336600,Maceió,17,0,3,0,M,1,2,1,0,27037053,Maceió,AL,Maceió,AL,480,"447,6","467,8","406,8",520,"464,44",A,B
10,190001336606,Delmiro Gouveia,19,1,3,0,F,1,2,1,1,27003221,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"425,2","453,5","516,6","434,1",580,"481,88",A,B
11,190001336609,Santana do Ipanema,17,1,3,0,F,2,2,1,1,27007090,Santana do Ipanema,AL,Santana do Ipanema,AL,"530,6","496,1","491,9","489,3",580,"517,58",A,A
12,190001336610,Maceió,17,1,3,0,F,1,2,1,0,27037037,Maceió,AL,Maceió,AL,"436,2","526,8","577,6","480,3",620,"528,18",A,B
13,190001336618,Maceió,18,1,1,0,M,1,3,1,0,27047970,Maceió,AL,Maceió,AL,"578,5","576,4",572,545,640,"582,38",B,B
14,190001336624,Maceió,20,1,3,0,M,1,2,1,1,27038483,Maceió,AL,Maceió,AL,"409,7","458,4","504,1","464,9",580,"483,42",A,B
15,190001336631,Penedo,19,1,1,0,M,1,2,1,1,27045234,Penedo,AL,Penedo,AL,"476,7","383,5","479,4","413,3",420,"434,58",B,B
16,190001336637,Maceió,17,1,3,0,M,1,3,1,0,27215512,Maceió,AL,Maceió,AL,"571,6","645,9","528,8","815,6",940,"700,38",B,B
17,190001336645,Maceió,16,1,3,0,F,2,2,1,0,27038734,Maceió,AL,Maceió,AL,"421,2",481,"474,7","451,6",560,"477,7",A,A
18,190001336656,Inhapi,17,1,3,0,F,1,2,1,0,27218279,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"496,1","592,1","581,1","667,6",800,"627,38",B,B
19,190001336658,Maceió,19,1,3,0,M,1,2,1,1,27037037,Maceió,AL,Maceió,AL,"395,5","491,2","515,1",413,440,"450,96",B,B
20,190001336665,Porto Calvo,18,1,3,0,F,1,2,1,0,27031365,Porto Calvo,AL,Porto Calvo,AL,"466,5","499,4",522,"530,5",520,"507,68",A,A
21,190001336678,Penedo,18,1,3,0,F,1,2,1,1,27045234,Penedo,AL,Penedo,AL,"480,9","373,9","408,5","478,4",480,"444,34",A,A
22,190001336682,Maceió,19,1,3,0,F,1,2,1,1,27037088,Maceió,AL,Maceió,AL,438,375,"410,6","389,3",560,"434,58",A,B
23,190001338143,Maragogi,17,1,3,0,F,1,2,1,1,27032566,Maragogi,AL,Barreiros,PE,"380,4","344,5","449,9","407,6",540,"424,48",A,B
24,190001339054,Marechal Deodoro,32,2,2,0,F,1,2,1,1,27039412,Marechal Deodoro,AL,Marechal Deodoro,AL,"429,6","452,4","447,8","426,1",600,"471,18",A,B
25,190001339056,Santana do Mundaú,18,1,1,0,F,1,2,1,0,27023516,Santana do Mundaú,AL,União dos Palmares,AL,"444,3",503,"555,9","444,3",780,"545,5",B,B
26,190001339072,Cajueiro,18,1,3,0,M,2,2,1,1,27050580,Viçosa,AL,Viçosa,AL,"496,6","614,3","532,1","646,8",720,"601,96",B,B
27,190001339074,Maceió,17,1,3,0,F,1,2,1,1,27041042,Satuba,AL,Maceió,AL,"504,5","429,6","484,5","595,2",740,"550,76",B,B
28,190001339075,Maceió,17,1,3,0,M,1,2,1,0,27220044,Maceió,AL,Maceió,AL,"496,4","466,7","525,2","597,8",600,"537,22",B,B
29,190001339076,Maceió,18,1,3,0,M,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"490,6","555,9","528,6","623,1",660,"571,64",B,B
30,190001339086,Teotônio Vilela,17,1,1,0,F,2,2,1,1,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"455,8","513,8","496,5","475,8",680,"524,38",A,A
31,190001339104,Penedo,19,1,3,0,F,1,2,1,1,27045234,Penedo,AL,Penedo,AL,"421,1","505,5","524,9","461,6",560,"494,62",A,B
32,190001340156,Penedo,19,1,2,0,F,1,2,1,1,27047830,Penedo,AL,Penedo,AL,"541,1","551,5","559,1","639,6",720,"602,26",A,A
33,190001340159,Santana do Ipanema,17,1,2,0,M,1,2,1,1,27007987,Santana do Ipanema,AL,Santana do Ipanema,AL,"419,7","526,9","455,5","433,3",680,"503,08",A,A
34,190001340170,Maceió,17,1,3,0,F,1,3,1,0,27223361,Maceió,AL,Maceió,AL,"548,2","475,1","552,7","597,9",720,"578,78",A,B
35,190001340185,Maceió,18,1,3,0,M,1,3,1,0,27226220,Maceió,AL,Maceió,AL,"524,3","500,8","518,6","476,4",540,"512,02",B,B
36,190001340196,Maceió,17,2,2,0,M,1,2,1,0,27035980,Maceió,AL,Maceió,AL,"403,1",420,"467,3","454,7",700,"489,02",B,B
37,190001340215,Maceió,17,1,1,0,F,1,3,1,0,27368017,Maceió,AL,Maceió,AL,"370,5",503,"562,7",431,680,"509,44",B,B
38,190001340218,Maceió,18,1,2,0,M,1,2,1,1,27225968,Maceió,AL,Maceió,AL,"450,7","545,5","518,7","595,3",640,"550,04",A,B
39,190001340221,União dos Palmares,18,1,3,0,F,1,2,1,1,27025047,União dos Palmares,AL,União dos Palmares,AL,"424,1","527,9","541,2","532,9",300,"465,22",B,B
40,190001340225,Maceió,20,1,3,0,F,1,2,1,1,27037223,Maceió,AL,Maceió,AL,"477,8","544,3","559,7",639,540,"552,16",A,A
41,190001340233,Maceió,20,1,2,0,M,1,2,1,1,27034887,Maceió,AL,Maceió,AL,"425,8","374,6","426,7","486,2",460,"434,66",C,B
42,190001340239,Maceió,17,0,0,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"427,4","530,2","542,9","593,3",660,"550,76",B,B
43,190001340240,Coruripe,17,1,3,0,M,1,2,1,0,27050572,Coruripe,AL,Coruripe,AL,"565,9","531,2","482,6","548,5",560,"537,64",B,B
44,190001340249,Maceió,17,1,3,0,M,1,2,1,0,27047520,Maceió,AL,Maceió,AL,"364,3",525,"469,4","506,3",480,469,B,B
45,190001340256,Maceió,17,1,0,0,F,1,3,1,1,27215032,Maceió,AL,Maceió,AL,"506,9","563,5","531,3","516,1",840,"591,56",B,B
46,190001340257,Maceió,17,1,3,0,M,1,3,1,1,27289010,Maceió,AL,Maceió,AL,541,"530,1","512,1","724,5",820,"625,54",B,B
47,190001340278,Atalaia,19,0,3,0,M,1,2,1,1,27026337,Atalaia,AL,Atalaia,AL,"390,6","392,9","368,1","411,3",0,"312,58",A,A
48,190001340280,Maceió,17,1,3,0,F,1,3,1,1,27047520,Maceió,AL,Maceió,AL,"458,5","581,2","549,8","597,3",740,"585,36",A,B
49,190001340294,União dos Palmares,18,1,3,0,M,1,2,1,0,27025047,União dos Palmares,AL,União dos Palmares,AL,"390,4",378,"468,5","441,1",480,"431,6",A,A
50,190001340309,Maceió,19,1,2,0,M,1,2,1,0,27225968,Maceió,AL,Maceió,AL,"479,5","391,7","460,4","493,3",480,"460,98",A,B
51,190001340311,Maceió,19,1,2,0,F,1,2,1,0,27038297,Maceió,AL,Maceió,AL,"512,5","367,4","341,3","427,9",440,"417,82",A,B
52,190001340315,Arapiraca,18,1,3,0,M,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,"439,6","514,7","504,3","435,3",280,"434,78",A,B
53,190001342625,Maceió,20,1,3,0,F,1,2,1,1,27034836,Maceió,AL,Maceió,AL,"431,5","421,5","507,5","411,6",720,"498,42",A,A
54,190001342646,Maceió,18,1,2,0,M,1,2,1,0,27036553,Maceió,AL,Maceió,AL,"521,5",536,"531,6",629,680,"579,62",A,B
55,190001342649,Monteirópolis,18,1,3,0,M,1,2,1,0,27010767,Monteirópolis,AL,Olho d'Água das Flores,AL,"361,4","439,9","513,5","457,6",800,"514,48",A,A
56,190001342652,Maceió,19,1,3,0,M,1,2,1,1,27035786,Maceió,AL,Maceió,AL,"490,7","503,8","564,3","472,7",740,"554,3",A,A
57,190001342656,Maceió,17,1,2,0,F,1,3,1,1,27034844,Maceió,AL,Maceió,AL,"383,7","392,4","518,4","535,7",560,"478,04",A,A
58,190001342659,Estrela de Alagoas,18,1,3,0,F,1,2,1,0,27012166,Estrela de Alagoas,AL,Palmeira dos Índios,AL,"517,2","520,1",524,"592,2",880,"606,7",A,B
59,190001342661,Palmeira dos Índios,18,1,1,0,F,1,2,1,0,27014959,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"498,9","574,1","531,1","451,9",780,"567,2",A,A
60,190001342666,São Miguel dos Campos,18,1,1,0,F,1,2,1,0,27219640,Marechal Deodoro,AL,São Miguel dos Campos,AL,"543,8","548,1","514,2","592,3",780,"595,68",A,B
61,190001342674,Maceió,19,1,1,0,F,1,2,1,0,27225968,Maceió,AL,Maceió,AL,"453,7",433,"527,7","397,8",0,"362,44",B,B
62,190001342677,Palmeira dos Índios,18,1,3,0,F,1,2,1,1,27215830,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"591,4","608,8",326,"757,3",900,"636,7",C,B
63,190001342679,Maceió,19,1,3,0,F,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"440,9","538,3","524,9",485,500,"497,82",B,B
64,190001342682,Teotônio Vilela,19,1,2,0,F,1,2,1,0,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"497,7","567,8","499,8","495,8",620,"536,22",A,A
65,190001342696,Arapiraca,18,1,0,0,F,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"635,4","652,2","620,6","768,8",880,"711,4",B,B
66,190001342700,Penedo,18,1,3,0,M,1,2,1,0,27045552,Penedo,AL,Penedo,AL,"466,1","546,6",416,"573,9",620,"524,52",C,B
67,190001342701,Rio Largo,18,1,3,0,F,1,2,1,0,27040348,Rio Largo,AL,Rio Largo,AL,"396,6","522,3","484,5","506,4",860,"553,96",A,B
68,190001342703,Craíbas,17,1,1,0,F,1,2,1,1,27018016,Craíbas,AL,Arapiraca,AL,"517,5","534,1","577,5","543,3",800,"594,48",B,B
69,190001342705,Maceió,17,1,1,0,F,1,3,1,0,27035000,Maceió,AL,Maceió,AL,572,"619,8","593,7","650,2",920,"671,14",B,B
70,190001342731,Marechal Deodoro,17,1,3,0,M,1,2,1,0,27220044,Maceió,AL,Marechal Deodoro,AL,"555,5","613,3","593,9","633,5",700,"619,24",A,B
71,190001342735,Olho d'Água do Casado,17,1,3,0,F,1,2,1,1,27003892,Olho d'Água do Casado,AL,Delmiro Gouveia,AL,"407,8","525,4","561,4","536,4",780,"562,2",B,B
72,190001342737,Matriz de Camaragibe,17,1,3,0,F,1,2,1,1,27029654,Matriz de Camaragibe,AL,Porto Calvo,AL,"443,3","383,9","493,8",397,800,"503,6",B,B
73,190001342740,Maceió,18,1,1,0,F,1,2,1,1,27036731,Maceió,AL,Maceió,AL,"467,9","541,2","581,2","580,7",520,"538,2",A,A
74,190001342741,Arapiraca,17,1,1,0,M,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,"522,9","611,5",598,"525,6",780,"607,6",A,B
75,190001342750,Maceió,18,1,3,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"412,9","376,3","460,5","557,8",600,"481,5",A,A
76,190001342758,Arapiraca,20,1,3,0,M,1,2,1,0,27016420,Arapiraca,AL,Arapiraca,AL,"339,3","484,1","371,7","384,1",540,"423,84",A,B
77,190001342759,Marechal Deodoro,19,1,3,0,F,1,2,1,0,27219640,Marechal Deodoro,AL,Marechal Deodoro,AL,"493,6","534,5","569,8","404,8",660,"532,54",A,B
78,190001342765,Rio Largo,21,1,4,0,F,2,2,1,1,27040240,Rio Largo,AL,Rio Largo,AL,"369,1",328,"446,5","431,8",340,"383,08",A,B
79,190001342766,Maceió,18,1,1,0,M,1,2,1,1,27037037,Maceió,AL,Maceió,AL,"474,9","333,2","553,2","453,9",320,"427,04",B,B
80,190001342768,Dois Riachos,17,1,3,0,F,1,2,1,1,27004740,Dois Riachos,AL,Santana do Ipanema,AL,440,"448,7","506,5","467,3",540,"480,5",A,A
81,190001342769,Olho d'Água Grande,20,1,1,0,F,1,2,1,1,27021467,Olho d'Água Grande,AL,Girau do Ponciano,AL,338,"443,5","487,4","409,9",640,"463,76",A,B
82,190001342773,Rio Largo,18,1,0,0,F,1,2,1,1,27040607,Rio Largo,AL,Rio Largo,AL,"493,5","488,9","540,3","448,3",680,"530,2",A,B
83,190001342779,Maceió,18,1,3,0,F,1,2,1,0,27036677,Maceió,AL,Maceió,AL,"536,1","531,4","533,3",449,620,"533,96",A,B
84,190001342784,Maceió,18,1,3,0,M,1,2,1,0,27036561,Maceió,AL,Maceió,AL,433,465,517,"403,4",240,"411,68",A,B
85,190001342788,Maceió,19,1,1,0,F,1,2,1,0,27038297,Maceió,AL,Maceió,AL,"452,7",469,"531,8","497,2",660,"522,14",B,B
86,190001343816,Passo de Camaragibe,18,1,4,0,F,1,2,1,1,27033210,Passo de Camaragibe,AL,São Luís do Quitunde,AL,"369,7","389,2","492,4",441,580,"454,46",A,B
87,190001343819,Anadia,17,1,3,0,F,1,2,1,0,27041212,Anadia,AL,Boca da Mata,AL,"482,8","563,3","512,2","420,7",680,"531,8",A,A
88,190001343820,Arapiraca,16,1,3,0,M,1,3,1,1,27224821,Arapiraca,AL,Arapiraca,AL,"451,6","519,1",556,"628,4",620,"555,02",A,B
89,190001343826,Feira Grande,18,1,3,0,M,1,2,1,0,27047636,Arapiraca,AL,Arapiraca,AL,"513,2","566,1","521,8","735,4",740,"615,3",B,B
90,190001343837,Mata Grande,16,1,3,0,F,1,2,1,1,27002020,Mata Grande,AL,Delmiro Gouveia,AL,"485,3","458,7","452,5","391,3",580,"473,56",A,B
91,190001343838,Santana do Ipanema,21,1,4,0,F,1,2,1,1,27007987,Santana do Ipanema,AL,Santana do Ipanema,AL,"494,6","431,9","512,8",476,540,"491,06",A,A
92,190001343858,Lagoa da Canoa,18,1,1,0,F,2,3,1,0,27019608,Lagoa da Canoa,AL,Arapiraca,AL,"455,4","538,7",512,"486,9",760,"550,6",A,A
93,190001343864,Maceió,17,1,1,0,F,1,2,1,0,27320022,Maceió,AL,Maceió,AL,"412,5","424,5","483,1","514,8",620,"490,98",B,B
94,190001343868,Palmeira dos Índios,17,1,0,0,F,1,2,1,0,27015068,Palmeira dos Índios,AL,Palmeira dos Índios,AL,"401,4","361,3","441,1","430,7",400,"406,9",A,A
95,190001343870,Arapiraca,19,1,0,0,M,1,2,1,1,27016579,Arapiraca,AL,Arapiraca,AL,"413,7","405,5","367,3","451,5",560,"439,6",A,B
96,190001343874,Taquarana,18,1,3,0,F,1,2,1,1,27047636,Arapiraca,AL,Arapiraca,AL,"610,7","595,2","589,2","613,5",900,"661,72",A,A
97,190001343885,Olho d'Água do Casado,18,1,3,0,M,1,2,1,0,27003892,Olho d'Água do Casado,AL,Delmiro Gouveia,AL,"525,3",526,"526,7","511,1",680,"553,82",A,B
98,190001343891,Arapiraca,17,1,1,0,F,1,3,1,1,27016510,Arapiraca,AL,Arapiraca,AL,"488,6","520,3","520,2",448,600,"515,42",A,B
99,190001343905,Maceió,17,1,2,0,F,1,3,1,0,27215032,Maceió,AL,Maceió,AL,"461,4","420,8","517,6","550,5",660,"522,06",B,B
100,190001344415,Maragogi,19,1,3,0,M,1,2,1,1,27032566,Maragogi,AL,Barreiros,PE,"341,3",446,"454,6","478,3",320,"408,04",B,B
101,190001346215,Rio Largo,17,1,3,0,F,1,2,1,1,27040348,Rio Largo,AL,Rio Largo,AL,"367,9","516,2",540,"550,5",580,"510,92",A,B
102,190001346220,Maceió,17,1,1,0,F,1,3,1,0,27218180,Maceió,AL,Maceió,AL,"598,6","601,5",590,"679,5",880,"669,92",C,B
103,190001346233,União dos Palmares,17,1,1,0,M,1,2,1,0,27024016,União dos Palmares,AL,União dos Palmares,AL,"471,2","423,3","530,6",381,540,"469,22",A,A
104,190001346240,Limoeiro de Anadia,19,1,5,0,M,1,2,1,0,27020274,Limoeiro de Anadia,AL,Campo Alegre,AL,"409,7","420,9","524,2","413,5",500,"453,66",A,A
105,190001346254,Delmiro Gouveia,18,1,3,0,M,1,2,1,1,27003469,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"386,3","416,6","435,2","440,2",480,"431,66",A,A
106,190001346267,Pão de Açúcar,17,1,3,0,F,1,2,1,1,27005984,Pão de Açúcar,AL,Olho d'Água das Flores,AL,"454,9","484,8","486,4","384,6",580,"478,14",A,A
107,190001346274,Igaci,17,1,1,0,F,1,2,1,0,27012638,Igaci,AL,Igaci,AL,"403,9","487,6","491,8","446,2",360,"437,9",A,A
108,190001346284,Maceió,17,1,1,0,F,1,2,1,1,27041042,Satuba,AL,Maceió,AL,"472,2","440,1","503,5","442,6",800,"531,68",B,B
109,190001346293,Arapiraca,18,1,2,0,F,1,2,1,0,27016420,Arapiraca,AL,Arapiraca,AL,"380,9","390,1","420,4","439,2",380,"402,12",A,B
110,190001346300,Maceió,16,1,1,0,F,1,3,1,0,27218244,Maceió,AL,Maceió,AL,"594,7","572,2","569,2","652,6",780,"633,74",B,B
111,190001346315,São Miguel dos Milagres,18,1,2,0,M,1,2,1,0,27033384,Porto de Pedras,AL,Porto Calvo,AL,504,"487,6","518,6","599,2",600,"541,88",A,B
112,190001346316,Pilar,17,1,3,0,F,1,2,1,1,27039595,Pilar,AL,Pilar,AL,"445,3","550,3","506,4","601,2",500,"520,64",A,B
113,190001346320,Maceió,17,1,1,0,F,1,3,1,0,27218180,Maceió,AL,Maceió,AL,"635,7","706,6","638,1","800,1",880,"732,1",C,B
114,190001346321,Teotônio Vilela,16,1,1,0,M,1,2,1,0,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"401,1","606,5","632,2",694,880,"642,76",A,B
115,190001346326,Girau do Ponciano,19,1,3,0,F,1,2,1,1,27018997,Girau do Ponciano,AL,Girau do Ponciano,AL,"444,2","472,2","448,7","475,9",560,"480,2",A,A
116,190001346330,Maceió,17,1,2,0,F,1,2,1,1,27038556,Maceió,AL,Maceió,AL,"387,5",487,"439,1","410,4",540,"452,8",A,B
117,190001346354,Girau do Ponciano,17,1,3,0,F,1,2,1,1,27220087,Girau do Ponciano,AL,Girau do Ponciano,AL,"332,4","463,9","440,5","383,9",360,"396,14",A,B
118,190001346360,Maceió,19,1,4,0,F,1,2,1,0,27035948,Maceió,AL,Maceió,AL,"397,3","477,8","441,9","413,2",580,"462,04",A,A
119,190001346378,Palmeira dos Índios,17,1,4,0,M,1,2,1,0,27215830,Palmeira dos Índios,AL,Palmeira dos Índios,AL,438,"334,1","522,1","580,1",600,"494,86",A,B
120,190001346385,Anadia,18,1,1,0,M,1,2,1,1,27041212,Anadia,AL,Boca da Mata,AL,"380,6","534,5","468,9","413,7",0,"359,54",A,A
121,190001346406,Atalaia,18,1,3,0,F,1,2,1,1,27026337,Atalaia,AL,Atalaia,AL,"381,7","502,2","507,3","476,3",600,"493,5",A,B
122,190001346409,Olho d'Água do Casado,18,1,3,0,M,1,2,1,1,27003892,Olho d'Água do Casado,AL,Delmiro Gouveia,AL,"478,5","401,2",478,"468,6",640,"493,26",A,B
123,190001346432,Arapiraca,17,1,3,0,F,1,2,1,0,27016510,Arapiraca,AL,Arapiraca,AL,491,"541,2","568,6","590,6",740,"586,28",A,A
124,190001347469,Lagoa da Canoa,17,1,3,0,F,1,2,1,0,27019608,Lagoa da Canoa,AL,Girau do Ponciano,AL,"356,4","433,1","506,4","407,4",560,"452,66",A,B
125,190001347471,Anadia,18,1,3,0,M,1,2,1,1,27041212,Anadia,AL,Boca da Mata,AL,353,"321,8","445,7","365,2",0,"297,14",A,A
126,190001347473,Maceió,19,1,3,0,M,1,2,1,1,27226271,Maceió,AL,Maceió,AL,"562,4","501,1",549,488,720,"564,1",A,B
127,190001347478,Maceió,18,1,1,0,M,1,3,1,1,27289010,Maceió,AL,Maceió,AL,414,"389,1","458,3","496,6",660,"483,6",B,B
128,190001347479,Penedo,18,1,4,0,M,1,2,1,0,27047830,Penedo,AL,Penedo,AL,"496,4","480,2","525,6","627,7",500,"525,98",A,B
129,190001347482,Maceió,17,1,1,0,M,1,3,1,0,27215032,Maceió,AL,Maceió,AL,"542,2","403,4","435,4","443,5",340,"432,9",B,B
130,190001347488,Maceió,18,1,2,0,F,1,2,1,0,27038297,Maceió,AL,Maceió,AL,"410,4","588,9","473,4","508,6",680,"532,26",A,B
131,190001347489,Maceió,17,1,1,0,M,1,3,1,1,27215032,Maceió,AL,Maceió,AL,"531,7","595,6","552,1","728,4",740,"629,56",C,B
132,190001347506,Maceió,18,1,5,0,F,1,2,1,1,27035980,Maceió,AL,Maceió,AL,"438,6","536,4","571,3","515,2",680,"548,3",A,B
133,190001347508,Rio Largo,18,1,3,0,M,1,2,1,0,27040348,Rio Largo,AL,Rio Largo,AL,"436,2",388,"496,4","501,5",340,"432,42",B,B
134,190001347512,Maceió,17,1,3,0,M,1,3,1,0,27034976,Maceió,AL,Maceió,AL,"599,1","492,8",579,"717,6",900,"657,7",C,B
135,190001347517,Maceió,19,1,3,0,F,1,2,1,1,27036448,Maceió,AL,Maceió,AL,"368,9","453,6","482,6","478,1",0,"356,64",B,B
136,190001347521,Igaci,17,1,3,0,F,1,2,1,0,27012611,Igaci,AL,Igaci,AL,"546,7","568,8","538,5","464,1",900,"603,62",A,B
137,190001347813,Novo Lino,18,1,1,0,F,1,2,1,1,27030806,Novo Lino,AL,Palmares,PE,"377,3","530,5","508,6","462,3",720,"519,74",B,B
138,190001347921,Maragogi,17,1,3,0,F,1,2,1,0,27032566,Maragogi,AL,Barreiros,PE,"377,1","416,8","536,9","415,7",580,"465,3",A,B
139,190001348984,Iati,17,1,1,0,F,1,2,1,1,27238806,Cacimbinhas,AL,Águas Belas,PE,"570,8","571,1","573,4","551,9",880,"629,44",B,B
140,190001349845,São Luís do Quitunde,19,1,3,0,M,1,2,1,0,27224759,São Luís do Quitunde,AL,São Luís do Quitunde,AL,"426,7","438,2","362,9","464,7",400,"418,5",A,A
141,190001349864,Maceió,19,1,3,0,M,1,2,1,0,27220044,Maceió,AL,Maceió,AL,"460,5","541,8","543,5","449,7",580,"515,1",B,B
142,190001349868,Porto Calvo,18,1,3,0,F,1,2,1,0,27031365,Porto Calvo,AL,Porto Calvo,AL,"470,5","448,7",610,"433,7",480,"488,58",B,B
143,190001349916,Teotônio Vilela,17,1,1,0,F,1,2,1,0,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"528,4","562,2","567,6","604,1",780,"608,46",A,B
144,190001349936,Maceió,18,1,1,0,F,1,3,1,1,27214737,Maceió,AL,Maceió,AL,"536,5","524,3","539,9","483,1",640,"544,76",A,A
145,190001349937,Coruripe,18,1,1,0,F,1,2,1,0,27226328,Coruripe,AL,Coruripe,AL,"602,3","675,4","642,8","720,5",800,"688,2",B,B
146,190001349938,Maceió,17,1,1,0,F,0,2,1,1,27036022,Maceió,AL,Maceió,AL,"411,5","481,9","500,8","568,5",580,"508,54",A,A
147,190001349940,Maceió,17,1,1,0,F,1,3,1,0,27218180,Maceió,AL,Maceió,AL,"598,5",613,"602,2","605,1",920,"667,76",B,B
148,190001349944,Arapiraca,18,1,2,0,F,1,2,1,1,27016510,Arapiraca,AL,Arapiraca,AL,"423,7","395,6","478,7",393,460,"430,2",A,A
149,190001349948,Satuba,17,1,3,0,F,1,2,1,1,27040348,Rio Largo,AL,Rio Largo,AL,"459,5","531,5","568,3",460,880,"579,86",B,B
150,190001349955,Pão de Açúcar,17,1,1,0,M,2,2,1,0,27005984,Pão de Açúcar,AL,Olho d'Água das Flores,AL,"607,8","673,6",619,"769,5",880,"709,98",C,B
151,190001349963,Rio Largo,19,1,3,0,M,1,2,1,0,27037223,Maceió,AL,Maceió,AL,"561,5","533,8","538,5","641,3",700,"595,02",B,B
152,190001349966,Teotônio Vilela,16,1,3,0,F,1,2,1,0,27353036,Teotônio Vilela,AL,Teotônio Vilela,AL,"472,1",520,"461,7","422,7",920,"559,3",A,B
153,190001349968,Maceió,17,1,3,0,M,1,2,1,0,27036987,Maceió,AL,Maceió,AL,559,605,"593,9","730,1",780,"653,6",B,A
154,190001349973,Satuba,20,1,1,0,M,1,2,1,0,27226174,Rio Largo,AL,Rio Largo,AL,424,"557,4",533,"510,5",700,"544,98",B,B
155,190001349980,Pilar,18,1,2,0,F,1,2,1,0,27039960,Pilar,AL,Pilar,AL,"375,3","415,3","515,1","432,8",560,"459,7",A,B
156,190001349987,Maceió,18,1,1,0,M,1,3,1,0,27218180,Maceió,AL,Maceió,AL,"697,5","663,4","602,8",799,900,"732,54",B,B
157,190001349989,São Sebastião,23,1,1,0,F,1,2,1,0,27020320,São Sebastião,AL,Arapiraca,AL,388,"370,6","402,6","453,2",560,"434,88",A,B
158,190001349993,Barra de São Miguel,20,1,3,0,F,1,2,1,0,27219640,Marechal Deodoro,AL,Maceió,AL,"406,6","463,7",556,"396,6",740,"512,58",B,B
159,190001349994,Feira Grande,18,1,1,0,F,1,2,1,0,27018350,Feira Grande,AL,Arapiraca,AL,560,"569,3","571,1","674,3",780,"630,94",B,B
160,190001350002,Rio Largo,17,1,1,0,M,1,2,1,0,27040607,Rio Largo,AL,Rio Largo,AL,"505,1","541,1","536,8","429,4",660,"534,48",B,B
161,190001350005,Maceió,18,1,1,0,F,1,3,1,0,27225984,Maceió,AL,Maceió,AL,"423,8","462,2","501,7","538,2",740,"533,18",B,B
162,190001350006,Coruripe,18,1,3,0,M,1,2,1,1,27226239,Coruripe,AL,Coruripe,AL,"367,3","438,8","511,3","441,6",680,"487,8",B,B
163,190001350008,Teotônio Vilela,18,1,1,0,M,1,2,1,1,27044211,Teotônio Vilela,AL,Teotônio Vilela,AL,"558,9","466,4","428,3",371,560,"476,92",B,B
164,190001350014,Flexeiras,18,1,1,0,M,1,2,1,0,27030105,Messias,AL,Maceió,AL,"355,7","346,5","428,1",482,440,"410,46",B,B
165,190001350015,Arapiraca,17,1,3,0,M,1,2,1,0,27016331,Arapiraca,AL,Arapiraca,AL,"522,3",591,"560,5",582,740,"599,16",B,B
