SEQUENCIA,NU_INSCRICAO,NO_MUNICIPIO_RESIDENCIA,NU_IDADE,TP_ESTADO_CIVIL,TP_COR_RACA,IN_TREINEIRO,TP_SEXO,TP_NACIONALIDADE,TP_ESCOLA,TP_ENSINO,TP_LINGUA,CO_ESCOLA,NO_MUNICIPIO_ESC,SG_UF_ESC,NO_MUNICIPIO_PROVA,SG_UF_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,NU_NOTA_ENEM,Q024,Q025
5819,190002913485,Penedo,19,1,3,0,F,1,2,1,1,27047830,Penedo,AL,Penedo,AL,"557,6","497,3","536,6","585,6",700,"575,42",B,B
5820,190002913492,Japaratinga,17,1,3,0,M,1,2,1,1,27032280,Japaratinga,AL,Porto Calvo,AL,"379,2","415,2","453,8","569,8",400,"443,6",A,B
5821,190002913493,Murici,17,1,3,0,M,1,2,1,0,27030245,Murici,AL,União dos Palmares,AL,"430,6","492,5",378,"408,4",0,"341,9",C,A
5822,190002913494,Maceió,18,1,1,0,M,1,2,1,1,27036987,Maceió,AL,Maceió,AL,"531,9","461,7","462,5","508,7",220,"436,96",A,B
5823,190002913517,Rio Largo,17,1,0,0,F,1,2,1,0,27040240,Rio Largo,AL,Rio Largo,AL,"452,6","428,5","422,2","466,3",480,"449,92",B,B
5824,190002913520,Maceió,17,1,1,0,F,1,2,1,1,27047849,Maceió,AL,Maceió,AL,"524,4","554,7","567,4","672,2",900,"643,74",C,B
5825,190002913522,Maceió,17,1,3,0,F,1,3,1,1,27034895,Maceió,AL,Maceió,AL,"498,9",491,"521,4","572,3",860,"588,72",B,B
5826,190002913525,Maceió,17,1,3,0,M,1,2,1,0,27036561,Maceió,AL,Maceió,AL,"430,8","356,1","410,5","366,8",400,"392,84",B,B
5827,190002913528,Maceió,19,1,3,0,F,1,2,1,0,27036685,Maceió,AL,Maceió,AL,"395,2","432,3","466,1","482,8",300,"415,28",A,B
5828,190002913543,Santana do Ipanema,18,1,3,0,F,1,2,1,0,27003892,Olho d'Água do Casado,AL,Delmiro Gouveia,AL,468,"586,4","547,1","517,2",740,"571,74",A,A
5829,190002913547,Pilar,17,1,3,0,F,1,2,1,1,27039668,Pilar,AL,Pilar,AL,"425,6","539,5","503,7","401,1",640,"501,98",A,B
5830,190002913554,União dos Palmares,17,1,3,0,F,1,2,1,1,27025047,União dos Palmares,AL,União dos Palmares,AL,"407,4","492,9","512,2",377,540,"465,9",A,A
5831,190002913557,Maceió,17,1,3,0,F,1,2,1,1,27036782,Maceió,AL,Maceió,AL,"487,2","547,5","498,8","414,7",580,"505,64",A,B
5832,190002913559,Taquarana,18,1,3,0,M,1,2,1,0,27020819,Taquarana,AL,Arapiraca,AL,440,"512,8","536,5","553,2",560,"520,5",A,B
5833,190002913574,Maceió,18,1,3,0,M,1,3,1,0,27035816,Maceió,AL,Maceió,AL,"420,4","422,4","502,2","399,3",260,"400,86",A,A
5834,190002913575,Maceió,17,1,3,0,M,1,2,1,0,27036782,Maceió,AL,Maceió,AL,"471,8","551,2","556,6","505,8",800,"577,08",A,B
5835,190002913577,Maceió,18,1,1,0,M,1,2,1,0,27038734,Maceió,AL,Maceió,AL,"483,9","489,5","476,7","529,7",720,"539,96",A,B
5836,190002913591,Maceió,18,1,1,0,M,1,3,1,0,27220885,Maceió,AL,Maceió,AL,"552,1","626,9","571,8",577,800,"625,56",C,B
5837,190002913594,Capela,17,1,4,0,M,1,2,1,1,27027082,Capela,AL,Viçosa,AL,"478,1","488,4","569,7","557,4",800,"578,72",B,B
5838,190002913606,Maceió,18,1,1,0,F,1,3,1,1,27046974,Maceió,AL,Maceió,AL,"373,6","364,1","401,4","496,2",580,"443,06",B,B
5839,190002913616,Olho d'Água do Casado,18,1,3,0,F,1,2,1,0,27003892,Olho d'Água do Casado,AL,Delmiro Gouveia,AL,"424,5","378,4","379,8",497,460,"427,94",A,A
5840,190002913619,Delmiro Gouveia,28,0,3,0,F,1,2,1,0,27003515,Delmiro Gouveia,AL,Delmiro Gouveia,AL,"410,9","390,4","439,2","361,7",340,"388,44",A,B
5841,190002913635,Maceió,17,1,1,0,F,1,3,1,0,27225909,Maceió,AL,Maceió,AL,"423,2","494,9","571,8","511,2",680,"536,22",C,B
5842,190002913638,Campo Alegre,18,1,3,0,F,1,2,1,1,27041921,Campo Alegre,AL,Campo Alegre,AL,"406,8","469,7","439,2","470,4",560,"469,22",B,B
5843,190002913645,Igaci,16,1,4,0,M,1,2,1,0,27012620,Igaci,AL,Igaci,AL,"466,9","445,7","479,8","474,2",580,"489,32",A,B
5844,190002913646,Santana do Ipanema,18,2,3,0,F,1,2,1,1,27007987,Santana do Ipanema,AL,Santana do Ipanema,AL,"457,3","359,5","493,3","402,7",360,"414,56",A,A
5845,190002913653,Maceió,18,1,3,0,M,1,2,1,0,27037037,Maceió,AL,Maceió,AL,"451,7","356,8",445,"451,8",340,"409,06",A,B
5846,190002913659,Arapiraca,17,1,3,0,F,1,2,1,0,27016471,Arapiraca,AL,Arapiraca,AL,"505,6","446,8","489,8","459,2",680,"516,28",B,B
5847,190002913672,Olho d'Água das Flores,17,1,3,0,F,1,2,1,1,27011100,Olho d'Água das Flores,AL,Olho d'Água das Flores,AL,"375,8","406,8","459,4","534,4",520,"459,28",A,A
5848,190002913675,Viçosa,17,1,1,0,F,1,2,1,1,27025080,Viçosa,AL,Viçosa,AL,"566,2","605,6","634,4","413,8",800,604,A,B
5849,190002913684,Arapiraca,17,0,3,0,F,1,3,1,0,27226522,Arapiraca,AL,Arapiraca,AL,"485,1","555,3","528,2","580,6",680,"565,84",B,B
5850,190002913695,Maceió,17,1,1,0,M,1,3,1,0,27226620,Maceió,AL,Maceió,AL,"531,7","550,5","568,3","593,9",840,"616,88",B,B
5851,190002913697,Rio Largo,17,1,3,0,F,1,2,1,1,27030105,Messias,AL,Rio Largo,AL,513,585,"544,4","480,8",760,"576,64",A,A
5852,190002913699,Maceió,17,1,1,0,F,1,3,1,1,27218180,Maceió,AL,Maceió,AL,"491,5","541,8","575,6","611,5",840,"612,08",B,B
5853,190002913703,Junqueiro,18,1,3,0,F,1,2,1,0,27043436,Junqueiro,AL,Teotônio Vilela,AL,"431,2","533,5","532,4","492,7",880,"573,96",A,B
